사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2020-04,중앙선,1201,중랑,94107,89218,37703,37099
2020-04,중앙선,1202,상봉(시외버스터미널),113815,110981,30511,29385
2020-04,중앙선,1203,망우,126337,120881,51649,52299
2020-04,중앙선,1204,양원,22066,22547,11949,12062
2020-04,중앙선,1205,구리,253449,259524,62381,62672
2020-04,중앙선,1206,도농,175244,157459,42343,41223
2020-04,중앙선,1207,양정,14621,12516,7543,7097
2020-04,중앙선,1208,덕소,100533,99384,34798,34942
2020-04,중앙선,1209,도심,45222,34192,14404,13587
2020-04,중앙선,1210,팔당,23733,25349,7689,7839
2020-04,중앙선,1211,운길산,19672,17758,11198,10958
2020-04,중앙선,1212,양수,32519,31947,16502,16739
2020-04,중앙선,1213,신원,4060,2979,3714,3191
2020-04,중앙선,1214,국수,10861,10729,8089,8291
2020-04,중앙선,1215,아신,10157,9976,4686,4663
2020-04,중앙선,1216,오빈,4257,4057,3286,3267
2020-04,중앙선,1217,양평,43537,43991,22115,22626
2020-04,중앙선,1218,원덕,5097,4973,5517,5395
2020-04,중앙선,1219,용문,24167,25313,27378,27710
2020-04,중앙선,1220,지평,500,450,790,804
2020-04,장항선,1401,봉명,16677,15813,7671,7414
2020-04,장항선,1402,쌍용(나사렛대),31426,28779,7701,7126
2020-04,장항선,1403,아산,46215,42973,6560,6207
2020-04,장항선,1405,배방,16960,15733,4288,4221
2020-04,장항선,1407,온양온천,49990,50586,27967,28903
2020-04,장항선,1408,신창(순천향대),20036,18924,4716,4559
2020-04,경의선,1251,서울역,67967,88326,9701,12577
2020-04,경의선,1252,신촌,13099,17743,2845,3087
2020-04,경의선,1261,효창공원앞,51210,58505,10455,11219
2020-04,경의선,1262,공덕,64735,57709,9347,9326
2020-04,경의선,1263,서강대,37814,36670,7641,7297
2020-04,경의선,1264,홍대입구,36703,41334,3791,3900
2020-04,경의선,1265,가좌,84219,75638,32410,32085
2020-04,경의선,1266,디지털미디어시티,43731,41387,7446,7502
2020-04,경의선,1267,수색,39625,41618,9545,9473
2020-04,경의선,1268,화전,27367,25170,7750,7587
2020-04,경의선,1269,강매,54179,45335,12705,12176
2020-04,경의선,1270,행신,145465,141372,23169,23505
2020-04,경의선,1271,능곡,62351,55854,22165,22187
2020-04,경의선,1272,곡산,8927,9651,3824,3800
2020-04,경의선,1273,백마,126572,117877,22619,22419
2020-04,경의선,1274,풍산,97305,90207,21859,21440
2020-04,경의선,1275,일산,158839,154976,40940,40909
2020-04,경의선,1276,탄현,141825,135445,25937,25312
2020-04,경의선,1277,야당,109134,104410,21502,21015
2020-04,경의선,1278,운정,107033,98282,23879,23698
2020-04,경의선,1279,금릉,83295,81373,18009,17851
2020-04,경의선,1280,금촌,114157,111001,31499,32080
2020-04,경의선,1282,월롱,41064,36761,6927,7523
2020-04,경의선,1283,파주,19041,14141,6682,5892
2020-04,경의선,1284,문산,88336,87607,33146,32747
2020-04,경의선,1285,임진강,540,481,719,779
2020-04,경의선,1291,서울역,0,0,1,0
2020-04,경의선,1295,김포공항,1,0,0,0
2020-04,경의선,1296,계양,5,0,0,0
2020-04,경의선,1297,검암,1,0,0,0
2020-04,경춘선,1311,신내,20679,21608,10141,10185
2020-04,경춘선,1312,갈매,50586,43210,14460,13511
2020-04,경춘선,1313,별내,43357,42887,14301,13807
2020-04,경춘선,1314,퇴계원,62793,57108,19645,18883
2020-04,경춘선,1315,사릉,61334,57416,15896,15802
2020-04,경춘선,1316,금곡,23263,21780,11471,11173
2020-04,경춘선,1317,평내호평,99011,98438,29897,28843
2020-04,경춘선,1318,천마산,23528,21646,13866,14388
2020-04,경춘선,1319,마석,58891,57871,25526,25126
2020-04,경춘선,1320,대성리,10193,9576,6179,5792
2020-04,경춘선,1321,청평,25355,25553,13820,13948
2020-04,경춘선,1322,상천,5897,4787,5629,5449
2020-04,경춘선,1323,가평,26754,27500,12024,11976
2020-04,경춘선,1324,굴봉산,2337,2581,3408,3482
2020-04,경춘선,1325,백양리,1533,1402,1596,1628
2020-04,경춘선,1326,강촌,8496,8037,4780,4829
2020-04,경춘선,1327,김유정,5346,6089,3113,3090
2020-04,경춘선,1328,남춘천,38771,40471,15153,15787
2020-04,경춘선,1329,춘천,21878,19460,10769,9474
2020-04,수인선,1878,달월,1202,928,899,727
2020-04,수인선,1879,월곶,44025,40836,9537,9441
2020-04,수인선,1880,소래포구,77631,74200,42620,41665
2020-04,수인선,1881,인천논현,103307,107725,21340,21760
2020-04,수인선,1882,호구포,65086,65975,13690,13424
2020-04,수인선,1883,남동인더스파크,42993,47239,5111,5157
2020-04,수인선,1884,원인재,77976,80166,20616,20792
2020-04,수인선,1885,연수,79115,80299,19256,18867
2020-04,수인선,1886,송도,40731,37490,15151,15124
2020-04,수인선,1888,인하대,94421,88836,18033,17533
2020-04,수인선,1889,숭의,62249,56558,20135,19406
2020-04,수인선,1890,신포,27758,29138,9017,9548
2020-04,수인선,1891,인천,11881,24166,8613,9960
2020-04,경강선,1501,판교,83622,81848,8250,7006
2020-04,경강선,1502,이매,18588,15254,4246,3637
2020-04,경강선,1503,삼동,41001,36033,7723,7634
2020-04,경강선,1504,경기광주,132122,123686,18363,18846
2020-04,경강선,1505,초월,51273,49127,8621,8714
2020-04,경강선,1506,곤지암,34549,34907,7780,8067
2020-04,경강선,1507,신둔도예촌,20128,18776,4563,4434
2020-04,경강선,1508,이천,46560,49951,8420,9052
